notebook,model,split,MAE,RMSE,R2,MAPE
regression,Prophet+LGB_cangio,train,0.3081048616949561,0.5850589927054047,0.8998328259523033,61.70218198973318
regression,Prophet+LGB_cangio,val,0.4298655011248865,0.7389493929129332,0.8644511943002777,120.24478550128038
regression,Prophet+LGB_cangio,test,0.41976523643674757,0.6937490229085219,0.8502182511450702,136.07342074829504
regression,Prophet+LGB_cuchi,train,0.3025293694760427,0.5606397960253522,0.9042528645636738,63.987596931655524
regression,Prophet+LGB_cuchi,val,0.49684271930655405,0.7721810909313472,0.8498052586095559,173.5177778320674
regression,Prophet+LGB_cuchi,test,0.530099195845662,0.7321811225698769,0.8307071762876509,228.93658035387628
regression,Prophet+LGB_dalat,train,0.2478801565949227,0.4841571628017502,0.9143905146761355,51.664852834577346
regression,Prophet+LGB_dalat,val,0.3903920829864467,0.6629033296632575,0.8688218538908213,123.2792316879884
regression,Prophet+LGB_dalat,test,0.4222571133718547,0.6125527117419989,0.8411626331511193,168.707053845904
regression,Prophet+LGB_hcm,train,0.292854492610525,0.5464747871646315,0.9065639551539199,61.162600559929324
regression,Prophet+LGB_hcm,val,0.4414269894715027,0.719891682355785,0.8658208186280767,145.0340304540452
regression,Prophet+LGB_hcm,test,0.4765147975350848,0.7049457171783234,0.8399469163289167,188.82269260975187
regression,Prophet+LGB_longhai,train,0.2961510181978502,0.544754916293314,0.9102366444995422,61.3624984644925
regression,Prophet+LGB_longhai,val,0.45099504824433145,0.7414996477351894,0.8612082583288632,137.34545785049892
regression,Prophet+LGB_longhai,test,0.5007232114868045,0.741475840252498,0.8254344044334863,191.79258358839942
regression,Prophet+LGB_nhabe,train,0.2932294509839467,0.5468538177554501,0.9066519848846936,61.1407296568505
regression,Prophet+LGB_nhabe,val,0.4327708064335764,0.7125628058171203,0.8684541096982971,138.32921253400988
regression,Prophet+LGB_nhabe,test,0.44049757497002473,0.6592009175369249,0.8604585983160271,170.39271875682556
regression,Prophet+LGB_thuduc,train,0.2975033061448317,0.5537238211668918,0.9065241467223082,61.577855956740436
regression,Prophet+LGB_thuduc,val,0.4348819895343178,0.7133520316938765,0.8722592210583023,135.35512269004286
regression,Prophet+LGB_thuduc,test,0.4644326993669018,0.675659548381813,0.8526083315950816,183.85055048260082
regression,Prophet+LGB_vungtau,train,0.30465524825630436,0.55935996038206,0.9061783172374176,64.01008484900512
regression,Prophet+LGB_vungtau,val,0.48752020702419335,0.7715352908291015,0.8511288806981471,165.69979719687348
regression,Prophet+LGB_vungtau,test,0.5521371581717924,0.7517931126568973,0.8214287123541444,245.19189062494888
regression,CNN-LSTM,train,0.20203859842561078,0.48956569285278534,0.925600541544973,18.76537020545854
regression,CNN-LSTM,val,0.27633139631911413,0.6415813681773902,0.8942728304103817,20.597570243998973
regression,CNN-LSTM,test,0.2610234964120157,0.6047052868904829,0.8806217535528004,29.242851386094216
regression,Attention-LSTM,train,0.21636030862900804,0.5047612890450134,0.9209103045228644,19.977417823812075
regression,Attention-LSTM,val,0.28230680955440657,0.6460644632283786,0.8927901160549867,21.45078046280462
regression,Attention-LSTM,test,0.27181973950951427,0.614673028685417,0.8766537421540489,32.847704829409324
regression,Stacking,train,0.26192138975139584,0.3105561635571733,0.9700635778753484,154.0482920619099
regression,Stacking,val,0.5552182735176064,0.834991672612131,0.8202751671841573,240.20616092745234
regression,Stacking,test,0.5360079456763369,0.7760664061026127,0.8025335621397384,255.97484732215082
