split,location,r2,mae,rmse,mape,mbe
train,cangio,0.8594832272339127,0.5477815438936092,0.8679913988309975,21.22648699407669,-0.0006900813463142433
train,cuchi,0.8634592565775319,0.4980997158955895,0.7981301613415499,18.534496451903685,-0.00011551240537412
train,hcm,0.8607507266700039,0.49350911337264486,0.7853214483139556,18.28282639386457,-0.0001540225390299377
train,longhai,0.8657222659800881,0.5149603060063356,0.8227839435165825,20.195021887451908,-0.0007193045548381748
train,nhabe,0.8617636261866597,0.49397314661589287,0.7836448118268741,18.2833030892921,-0.00019474714303717095
train,thuduc,0.8647608248050455,0.5055271996834968,0.7957183073796222,18.604526797571406,-0.0001737141578714201
train,vungtau,0.8665464656896479,0.5152508121709652,0.8204293013634338,20.342399073455038,-0.0008141806635658732
val,cangio,0.7777066823095389,0.7885346056658461,1.1129305121797042,39.464247526698784,-0.1570585618973196
val,cuchi,0.7467292953131284,0.7901856605499576,1.1455993124641237,33.49787067150995,-0.20099476936232208
val,hcm,0.7780753922638324,0.7156701836578385,1.040025685928909,30.3242287492444,-0.07885348562101127
val,longhai,0.7733714596057343,0.7699548935959785,1.1097276844636832,35.0141254340911,-0.12576183404632185
val,nhabe,0.7766696582783548,0.728947447693543,1.044359507405605,29.818298186657177,-0.12356766098284289
val,thuduc,0.7858854100037813,0.7291141350350359,1.049070470436497,29.175211632149,-0.09221688218886814
val,vungtau,0.7739097610711948,0.7554360305040229,1.1087339038483937,35.73852358366105,-0.04372311389228012
test,cangio,0.6902295560131242,1.0083122816741272,1.2840110118106205,73.29332961651747,-0.6023519986057486
test,cuchi,0.6902695972012863,0.9221995842880395,1.2376311619417275,59.349022607136504,-0.5211936199437821
test,hcm,0.7316096649308583,0.8268872290490867,1.123155564101233,53.621241724705335,-0.3796242270633563
test,longhai,0.6931211936942616,0.9542137720741731,1.2493196448102615,64.49225859916832,-0.512060316866687
test,nhabe,0.7269447897606099,0.8486462462987655,1.1344732476910633,54.26179770364854,-0.4263727487472519
test,thuduc,0.7319127327073485,0.8478590215490156,1.1368879193701977,53.59383412206809,-0.43505849276213393
test,vungtau,0.7096616331230021,0.9025189286992792,1.2096908882378494,62.375882814584536,-0.37499732725255724
