model,uv_range,n_samples,mae,rmse,mbe
attention_lstm,Low,22477,0.15519661835372467,0.2360928344364006,-0.04516601355576259
attention_lstm,Moderate,12065,0.41354791930341345,0.6256661568300057,0.03292239477068272
attention_lstm,High,2166,0.7267644822542467,0.9691907214234264,0.3692644350196296
attention_lstm,Very High,2137,0.7960957697634949,1.1483969720499123,0.6274692870547518
attention_lstm,Extreme,55,0.9084272384643555,1.0938903585099407,0.8624367280439897
